RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1,audio,image
Sundar,1,324,483,34060,34380,349.1,167,RIGHT,40,216,10521986,1019,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,204,510,34424,34624,212.2,410.2,RIGHT,32,216,10521986,1030,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,200,492,34660,34856,342.6,510.5,RIGHT,32,216,10521986,1037,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,156,481,34892,35044,282.2,381.6,RIGHT,44,216,10521986,1044,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,444,450,35092,35532,355.3,163.4,RIGHT,16,216,10521986,1050,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,580,497,35552,36128,380.3,162.8,RIGHT,24,216,10521986,1064,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,352,515,36156,36504,439.1,217.3,RIGHT,140,216,10521986,1082,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,268,482,36648,36912,407.7,301.1,RIGHT,24,216,10521986,1097,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,348,510,36940,37284,406.8,212.5,RIGHT,44,216,10521986,1106,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,284,517,37332,37612,271.8,335.6,RIGHT,28,216,10521986,1118,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,512,484,37644,38152,330.1,269.9,RIGHT,96,216,10521986,1127,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,548,465,38252,38796,300.7,424.5,RIGHT,36,216,10521986,1145,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,156,477,38836,38988,158.5,599,RIGHT,36,216,10521986,1163,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,268,454,39028,39292,346.2,572.4,RIGHT,52,216,10521986,1168,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,276,445,39348,39620,341.4,264.1,RIGHT,24,216,10521986,1178,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,628,462,39648,40272,358.2,171.3,RIGHT,48,216,10521986,1187,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
